url,title,nodes_number
https://www.youtube.com/watch?v=h1ORh1Zcz9s,Что такое конструкция IF ELSE | Аналитик данных | karpov.courses,14
https://www.youtube.com/watch?v=KbghMJHltPY,Дима Потапов – как стать хэдом продуктовой аналитики в Miro | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=_ou0APbUd24,Ирина Чернега — работа в саппорте это работа с людьми | Подкаст | karpov.courses,14
https://www.youtube.com/watch?v=Wngo-VHAF94,Дмитрий Охременко — из следователей в аналитики | Подкаст | karpov.courses,16
https://www.youtube.com/watch?v=gZZSHN4pUU8,От данных к метрикам | Аналитик данных | karpov.courses,8
https://www.youtube.com/watch?v=iqbsHiSnZQE,System Design с Валерием Бабушкиным | Выпуск 3 | Собеседование | karpov.courses,14
https://www.youtube.com/watch?v=1Kvw_kpIUPA,Релокация Data Science-специалиста | Голосовой чат | karpov.courses,14
https://www.youtube.com/watch?v=MJMjGRU8uUc,Зачем делать pet-проекты? | karpov.courses,6
https://www.youtube.com/watch?v=NV_zTFqa8KY,Симулятор аналитика: что будет на курсе? | Анатолий Карпов | karpov.courses,14
https://www.youtube.com/watch?v=hoI2_839aEY,Влад Петрашкевич — из арабиста в Full Stack разработчика | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=ZVN0mFF_d6I,Фильтрация данных | Симулятор SQL | karpov.courses,11
https://www.youtube.com/watch?v=SMRI4qKgyq8,"Мария Жавадова о том, как стать аналитиком данных | Интервью | karpov.courses",18
https://www.youtube.com/watch?v=IQUt9qTsQ0s,10 вопросов про A/B-тесты | Часть 1 | Валерий Бабушкин | karpov.courses,15
https://www.youtube.com/watch?v=yzpGAEgW8Q4,Почему идеальный английский не обязателен для работы в зарубежной компании | karpov.courses,17
https://www.youtube.com/watch?v=3_bEwm9bTr0,О стажировке в Google и жизни в долине | Дарья Яковлева | karpov.courses,9
https://www.youtube.com/watch?v=kJlAXHPz8c0,Алексей Бабаков — Доверие в EdTech — это очень дорогая валюта | Подкаст | karpov.courses,15
https://www.youtube.com/watch?v=SNJzZ5snpS8,О Симуляторе аналитика данных | Анатолий Карпов | karpov.courses,4
https://www.youtube.com/watch?v=oKBQsrE_sM8,Илья Богин — Тернистый путь программиста с самого детства | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=UHQ5bv-_Wzg,Никита Васильев — как учиться проходить собеседования на собеседованиях | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=vwA2JeYM3Lc,В IT из декрета и без опыта — как это было | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=HTBLj6GRVHI,Junior ML-инженер | Собеседование | karpov.courses,13
https://www.youtube.com/watch?v=ZY0ywLXKUkI,Как автоматизировать скучную работу в Pandas? | Аналитик данных | karpov.courses,11
https://www.youtube.com/watch?v=25QL56CxchQ,Беслан Курашов о работе в Яндексе и карьере аналитика | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=6hZiRfm85Ug,Сергей Шаров — Часть моей работы уже проходит в ChatGPT | Подкаст | karpov.courses,16
